Category,File Number,Average Frequency (Hz),Max Amplitude
Ripe,25,2805.809307,64.73131855
Ripe,25,4402.643597,72.01897938
Ripe,25,4399.155763,72.0180556
Ripe,25,4392.622344,71.84694782
Ripe,25,2774.749556,88.06463811
Ripe,25,4392.140767,71.8472426
Ripe,25,3533.310085,75.80720242
Ripe,25,3530.116205,75.7799106
Ripe,25,3896.604209,73.72624207
Ripe,25,4104.988912,87.25075409
Ripe,25,4121.38724,87.46290776
Ripe,25,4120.056018,87.6249012
Ripe,25,4114.559664,88.00897279
Ripe,25,2829.211224,79.62500769
Ripe,25,2835.714048,79.67192789
Ripe,26,4119.601141,84.13552917
Ripe,26,3167.107146,44.20176252
Ripe,26,3288.670943,85.02350948
Ripe,26,3287.513534,85.03283378
Ripe,26,3988.317328,75.83377924
Ripe,26,4004.990854,76.45886266
Ripe,26,4004.544898,76.59970367
Ripe,26,4008.470927,76.67009772
Ripe,26,2864.807901,77.86547726
Ripe,26,2862.370336,77.86140349
Ripe,27,3516.562151,78.05819959
Ripe,27,2590.421678,82.19920242
Ripe,27,2585.195203,81.61179064
Ripe,27,2590.042396,81.63034707
Ripe,27,3508.504826,78.09195855
Ripe,27,3003.247334,71.54942334
Ripe,27,2869.20295,74.20462447
Ripe,27,2640.313456,103.4103803
Ripe,27,2637.126039,103.3999755
Ripe,27,3161.994066,54.25186396
Ripe,27,2594.76303,82.22379579
Ripe,27,2588.336307,82.22142762
Ripe,28,3567.741686,90.06601888
Ripe,28,4439.832816,101.7296528
Ripe,28,4430.441755,100.8466895
Ripe,28,4199.064148,118.0823965
Ripe,28,4220.461523,120.7437594
Ripe,28,4225.013836,120.7577379
Ripe,28,4236.278968,120.7910102
Ripe,28,4241.62841,120.8430086
Ripe,28,4214.143616,120.9264018
Ripe,28,4215.207477,122.9110839
Ripe,28,4224.533436,123.0109191
Ripe,28,3554.60149,90.01932169
Ripe,28,4231.416649,123.1595795
Ripe,28,3638.22212,118.7398586
Ripe,28,3635.582263,118.5209523
Ripe,28,3637.332219,118.5035555
Ripe,28,3048.688047,130.9842233
Ripe,28,3063.561068,95.09805004
Ripe,28,3070.020445,94.8229208
Ripe,28,3067.727508,94.81226853
Ripe,28,3074.531171,94.79200879
Ripe,28,3063.619439,94.5420697
Ripe,28,3556.264198,90.04291248
Ripe,28,3063.408173,94.54228311
Ripe,28,3562.47157,90.06892619
Ripe,28,3573.247034,91.51438502
Ripe,28,3564.878024,91.55574816
Ripe,28,2977.678936,105.0093944
Ripe,28,3366.74945,179.1977922
Ripe,28,3351.892902,179.2616715
MidRipe,10,4002.35516,55.41266822
MidRipe,10,2752.705106,79.8592898
MidRipe,10,5861.978041,18.7671732
MidRipe,10,5423.332399,35.73723736
MidRipe,10,3536.94472,64.34953366
MidRipe,10,3538.573382,64.34262311
MidRipe,10,3784.598112,63.20857762
MidRipe,10,3711.696491,51.2022738
MidRipe,10,3710.636087,51.22152227
MidRipe,10,4407.135291,60.19958349
MidRipe,10,4406.957511,60.28489513
MidRipe,10,3611.27978,73.97831449
MidRipe,1,5372.151795,140.9551882
MidRipe,1,3765.871241,69.92287958
MidRipe,1,3769.440159,69.90879487
MidRipe,1,3763.752652,69.77432415
